leonoreid,images
19800035/798/90350,http://commons.wikimedia.org/wiki/Special:FilePath/Henri%20Coutard%201937.jpg
LH/1862/25,http://commons.wikimedia.org/wiki/Special:FilePath/Antoine%20Michaux.jpg
LH/70/45,http://commons.wikimedia.org/wiki/Special:FilePath/Marcel%20%C3%89ric%20Audemard%20d%27Alan%C3%A7on.png
LH/1808/41,http://commons.wikimedia.org/wiki/Special:FilePath/Avenel%2C%20Henri.jpg
LH/2707/42,http://commons.wikimedia.org/wiki/Special:FilePath/PereVidal.jpg
LH/2514/77,http://commons.wikimedia.org/wiki/Special:FilePath/Siebecker%2C%20Edouard%20%28Carjat%29.JPG
LH/965/27,http://commons.wikimedia.org/wiki/Special:FilePath/Fery%20d%27Esclands%2C%20Alphonse%20%28Panajou%29.jpg
LH/2571/73,http://commons.wikimedia.org/wiki/Special:FilePath/1-louisTassy.jpg
LH/710/35,http://commons.wikimedia.org/wiki/Special:FilePath/Eug%C3%A8ne%20Delessert.jpg
19800035/202/26484,http://commons.wikimedia.org/wiki/Special:FilePath/Augustins%20-%20La%20derni%C3%A8re%20dryade%20-%20Gabriel%20Guay%20%282004%201%20169%29.jpg
19800035/752/85340,http://commons.wikimedia.org/wiki/Special:FilePath/Herbert%20ward.jpg
LH/1662/36,http://commons.wikimedia.org/wiki/Special:FilePath/Monsieur%20Lotz-Brissonneau.jpg
LH/1918/12,http://commons.wikimedia.org/wiki/Special:FilePath/Albert%20Mont%C3%A9mont.jpg
LH/1034/60,http://commons.wikimedia.org/wiki/Special:FilePath/Portrait%20Georges%20Frerejean%20%282%29.jpg
LH/280/19,http://commons.wikimedia.org/wiki/Special:FilePath/Bonie-014-034-3006.jpg
LH/2265/53,http://commons.wikimedia.org/wiki/Special:FilePath/Etienne%20Babolin%20Randon%20de%20Pully%20%281774-1853%29%2C%20dit%20le%20marquis%20de%20Pully.jpg
LH/586/107,http://commons.wikimedia.org/wiki/Special:FilePath/Adolphe%20Coquet.jpg
19800035/326/43948,http://commons.wikimedia.org/wiki/Special:FilePath/Maurice%20Eliot%201896.png
LH/1129/70,http://commons.wikimedia.org/wiki/Special:FilePath/Gibert%2C%20Edmond%20Casimir%20Eloi.jpg
LH/1322/63,http://commons.wikimedia.org/wiki/Special:FilePath/Mrs.%20John%20Van%20Vorst%20portrait%20%28cropped%29.jpg
LH/2016/24,http://commons.wikimedia.org/wiki/Special:FilePath/Gustave%20Ollendorff%20photo.png
LH/2476/17,http://commons.wikimedia.org/wiki/Special:FilePath/Colonel%20Maximilien%20Joseph%20Schauenburg%202.jpg
LH/2305/16,http://commons.wikimedia.org/wiki/Special:FilePath/Paul%20Emile%20Marie%20R%C3%A9veillere.jpg
LH/889/26,http://commons.wikimedia.org/wiki/Special:FilePath/Casimir%20Echernier.jpg
LH/1235/44,http://commons.wikimedia.org/wiki/Special:FilePath/Emmanuel%20Guillaume%20Rey.JPEG
LH/1302/21,http://commons.wikimedia.org/wiki/Special:FilePath/Hippeau%2C%20Edmond%20%28L%27Illustration%2C%201879-12-06%29.jpg
LH/1320/41,http://commons.wikimedia.org/wiki/Special:FilePath/Gaud-Amable%2C%20baron%20Hugon%20%281783-1862%29.jpg
LH/736/20,http://commons.wikimedia.org/wiki/Special:FilePath/Depre%20et%20Clairville%20par%20Nadar.png | http://commons.wikimedia.org/wiki/Special:FilePath/Ernest%20Depre.png
19800035/1471/70353,http://commons.wikimedia.org/wiki/Special:FilePath/Armand%20Hayet.jpg
LH/160/42,http://commons.wikimedia.org/wiki/Special:FilePath/Georges%20Bechmann%2C%20photo%20de%20la%20promotion%201872-1873.jpg
LH/1617/43,http://commons.wikimedia.org/wiki/Special:FilePath/Lestiboudois%2C%20Jules%20%28Le%20Lillois%2C%201889-09-08%29%20-%20cropped.jpeg
LH/485/66,http://commons.wikimedia.org/wiki/Special:FilePath/Emmanuel%20Chaptal%20de%20Chanteloup1.jpg
19800035/1216/40395,http://commons.wikimedia.org/wiki/Special:FilePath/Photo%20archive%20MBA%20Lyon%20-%20Leopold%20Renard%20dans%20son%20atelier.jpg
LH/2417/21,http://commons.wikimedia.org/wiki/Special:FilePath/Antoine-Joseph%20Roy.jpg
LH/616/72,http://commons.wikimedia.org/wiki/Special:FilePath/Octave%20Courtois-Suffit.png
19800035/1446/67335,http://commons.wikimedia.org/wiki/Special:FilePath/Robert%20Dreyfus%20vers%201890.jpg
LH/2375/28,http://commons.wikimedia.org/wiki/Special:FilePath/Charles%20Romeu%20%281912%29.jpg
19800035/1280/47639,http://commons.wikimedia.org/wiki/Special:FilePath/Hubert-Denis%20Etcheverry.jpg
LH/1529/77,http://commons.wikimedia.org/wiki/Special:FilePath/Ernest%20Le%20Clerc%20par%20Joseph%20Victoire.jpg
19800035/209/27377,http://commons.wikimedia.org/wiki/Special:FilePath/La%20Vie%20Americaine%20-%20first%20edition.jpg
LH/1259/47,http://commons.wikimedia.org/wiki/Special:FilePath/Victor%20Hallays-Dabot.jpg
LH/1572/49,http://commons.wikimedia.org/wiki/Special:FilePath/Henrid%27IdevilleDesboutin.jpg
LH/1989/30,http://commons.wikimedia.org/wiki/Special:FilePath/Gabriel%20%C3%89mile%20Nicolet.jpg
19800035/756/85771,http://commons.wikimedia.org/wiki/Special:FilePath/Marie-Louise%20N%C3%A9ron.jpg
LH/1979/58,http://commons.wikimedia.org/wiki/Special:FilePath/Dinan%20%2822%29%20Monument%20%C3%A0%20Charles%20N%C3%A9el%20-%2002.jpg
LH/2157/31,http://commons.wikimedia.org/wiki/Special:FilePath/Carte%20exposant%20de%20PIET%20Jules%20%C3%A0%20l%27exposition%20universelle%20de%20Paris%201878.jpg
LH/2544/48,http://commons.wikimedia.org/wiki/Special:FilePath/Jeanlouissoye.jpg
LH/2694/35,http://commons.wikimedia.org/wiki/Special:FilePath/Vervoort%2C%20Andr%C3%A9%20%28Le%20Journal%2C%201904-06-25%29.jpg
LH/1542/53,http://commons.wikimedia.org/wiki/Special:FilePath/Charles%20Ledoulx.JPEG
LH/1178/20,http://commons.wikimedia.org/wiki/Special:FilePath/Jules%20Goupil%20-%20Carjat.png
LH/2501/37,http://commons.wikimedia.org/wiki/Special:FilePath/Strasbourg-Temple%20Neuf-Jules%20Conrad%20Sengenwald%20%282%29.jpg
LH/2010/32,http://commons.wikimedia.org/wiki/Special:FilePath/Constantin%20Oddo.jpg
LH/983/11,http://commons.wikimedia.org/wiki/Special:FilePath/Contre-amiral%20Fleuriot%20de%20Langle.jpg
LH/2548/6,http://commons.wikimedia.org/wiki/Special:FilePath/Ignacio%20Zuloaga-Portrait%20of%20Ivan%20Shchukin-Hermitage%20Museum.jpg
LH/296/56,http://commons.wikimedia.org/wiki/Special:FilePath/Portrait%20of%20Jules%20Borelli.png
LH/271/20,http://commons.wikimedia.org/wiki/Special:FilePath/Georges%20A.%20L.%20Boisselier.jpg
LH/1972/51,http://commons.wikimedia.org/wiki/Special:FilePath/43829065%2070f60821-bca9-4a54-9e88-c514df0720d1.jpg
LH/2067/21,http://commons.wikimedia.org/wiki/Special:FilePath/Patricot-autoportrait.jpg
LH/387/48,http://commons.wikimedia.org/wiki/Special:FilePath/Anselme%20Bucher%20de%20Chauvign%C3%A9%20vers%201885.jpg
19800035/0235/31205,http://commons.wikimedia.org/wiki/Special:FilePath/Albert%20Menier.jpg
19800035/135/17070,http://commons.wikimedia.org/wiki/Special:FilePath/Henri%20Narcisse%20Dransart.jpg
LH/879/1,http://commons.wikimedia.org/wiki/Special:FilePath/Ernest%20Dusuzeau.jpg
LH/939/4,http://commons.wikimedia.org/wiki/Special:FilePath/LPDF%2035%2020%20Fauque%20de%20Jonqui%C3%A8re.jpg
LH/376/41,http://commons.wikimedia.org/wiki/Special:FilePath/Louis%20Henri%20Brown%20de%20Colstoun.jpg
19800035/544/62266,http://commons.wikimedia.org/wiki/Special:FilePath/Charles%20Ginisty%201.jpg
LH/1632/20,http://commons.wikimedia.org/wiki/Special:FilePath/L%27H%C3%A9riller%2C%20Edmond.jpg
LH/1618/41,http://commons.wikimedia.org/wiki/Special:FilePath/Joseph%20Georges%20Lesueur%20%28%201834%E2%80%931910%29.jpg
LH/1888/36,http://commons.wikimedia.org/wiki/Special:FilePath/WIKI%20Hippo%20Mireur.jpg
LH/2046/54,http://commons.wikimedia.org/wiki/Special:FilePath/Claude%20Paquelin.PNG
19800035/242/32139,http://commons.wikimedia.org/wiki/Special:FilePath/Biessy%20dans%20son%20atelier.jpg
LH/1235/45,http://commons.wikimedia.org/wiki/Special:FilePath/Portrait%20de%20M.%20de%20Rochebrune%2C%20graveur.jpg
